,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,100000,95,1,3.02,5.1,0.6,3.02,5.1
1,200000,95,1,1.95,4.14,0.6,1.95,4.15
2,300000,95,1,2.25,4.52,0.6,2.25,4.52
3,400000,95,1,1.78,4.05,0.6,1.78,4.05
4,500000,95,1,1.32,3.83,0.6,1.32,3.83
5,600000,95,1,1.19,3.82,0.6,1.19,3.82
6,700000,95,1,1.08,3.79,0.6,1.08,3.79
7,800000,95,1,1.29,3.93,0.6,1.29,3.93
8,900000,95,1,1.2,3.84,0.6,1.2,3.84
9,1000000,95,1,1.22,3.88,0.6,1.22,3.88
